,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document,Person_id
276, to airport by metro with few minutes from Lesseps station walk to hotel Also it s close to Guadi s Park Guell famous tourist spot Staff is very nice ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,0.5636586572028054,False,146
277, hotel is very facilite ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,1.0,False,146
278, This Four Seasons does NOT compare to the other Four Seasons we ve stayed at It s almost like it s a lower end franchise of the real Four Seasons Furnishings ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,147
279, overall accommodations ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,147
280, services are well below par as compared to other Four Seasons ,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,0.5468215391258735,False,147
281, Location is excellent to shopping dining plays Tube etc The use of the driver was wonderful Do not always have this at other Four Seasons Great benefit ,8,8_great_easy_transport_location great location,"['great', 'easy', 'transport', 'location great location', 'shopping', 'centre', 'streets', 'public', 'free wifi', 'far']","[' Great location ', ' Great location ', ' Great location ']",great - easy - transport - location great location - shopping - centre - streets - public - free wifi - far,1.0,False,148
282, I would have loved to have a room facing the Eiffel tower,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,149
283, Amazing hotel free upgraded room ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,0.830947331089905,False,150
284, The lobby is kind of small ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,151
285, the reception counter is always busy ,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,0.796773193084959,False,151
286, Size of the business room was really good Tube station ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,0.9957550906113202,False,152
287, Oxford street are near Very quite regardless of the busy location The express check out service was really good ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,152
288, Really comfortable bed The staff especially the concierge are very friendly ,6,6_bed hard_staff_pillow_really,"['bed hard', 'staff', 'pillow', 'really', 'extra', 'comfortable beds', 'really comfy', 'amazing', 'bit', 'location']","[' bed', ' bed ', ' bed']",bed hard - staff - pillow - really - extra - comfortable beds - really comfy - amazing - bit - location,0.5158542988870155,False,153
